110000北京市
110100北京市 市辖区
110101北京市 市辖区 东城区
110102北京市 市辖区 西城区
110103北京市 市辖区 崇文区
110104北京市 市辖区 宣武区
110105北京市 市辖区 朝阳区
110106北京市 市辖区 丰台区
110107北京市 市辖区 石景山区
110108北京市 市辖区 海淀区
110109北京市 市辖区 门头沟区
110111北京市 市辖区 房山区
110112北京市 市辖区 通州区
110113北京市 市辖区 顺义区
110114北京市 市辖区 昌平区
110115北京市 市辖区 大兴区
110116北京市 市辖区 怀柔区
110117北京市 市辖区 平谷区
110200北京市 县
110228北京市 县 密云县
110229北京市 县 延庆县
120000天津市
120100天津市 市辖区
120101天津市 市辖区 和平区
120102天津市 市辖区 河东区
120103天津市 市辖区 河西区
120104天津市 市辖区 南开区
120105天津市 市辖区 河北区
120106天津市 市辖区 红桥区
120110天津市 市辖区 东丽区
120111天津市 市辖区 西青区
120112天津市 市辖区 津南区
120113天津市 市辖区 北辰区
120114天津市 市辖区 武清区
120115天津市 市辖区 宝坻区
120116天津市 市辖区 滨海新区(*)
120200天津市 县
120221天津市 县 宁河县
120223天津市 县 静海县
120225天津市 县 蓟县
130000河北省
130100河北省 石家庄市
130101河北省 石家庄市 市辖区
130102河北省 石家庄市 长安区
130103河北省 石家庄市 桥东区
130104河北省 石家庄市 桥西区
130105河北省 石家庄市 新华区
130107河北省 石家庄市 井陉矿区
130108河北省 石家庄市 裕华区
130121河北省 石家庄市 井陉县
130123河北省 石家庄市 正定县
130124河北省 石家庄市 栾城县
130125河北省 石家庄市 行唐县
130126河北省 石家庄市 灵寿县
130127河北省 石家庄市 高邑县
130128河北省 石家庄市 深泽县
130129河北省 石家庄市 赞皇县
130130河北省 石家庄市 无极县
130131河北省 石家庄市 平山县
130132河北省 石家庄市 元氏县
130133河北省 石家庄市 赵县
130181河北省 石家庄市 辛集市
130182河北省 石家庄市 藁城市
130183河北省 石家庄市 晋州市
130184河北省 石家庄市 新乐市
130185河北省 石家庄市 鹿泉市
130200河北省 唐山市
130201河北省 唐山市 市辖区
130202河北省 唐山市 路南区
130203河北省 唐山市 路北区
130204河北省 唐山市 古冶区
130205河北省 唐山市 开平区
130207河北省 唐山市 丰南区
130208河北省 唐山市 丰润区
130223河北省 唐山市 滦县
130224河北省 唐山市 滦南县
130225河北省 唐山市 乐亭县
130227河北省 唐山市 迁西县
130229河北省 唐山市 玉田县
130230河北省 唐山市 唐海县
130281河北省 唐山市 遵化市
130283河北省 唐山市 迁安市
130300河北省 秦皇岛市
130301河北省 秦皇岛市 市辖区
130302河北省 秦皇岛市 海港区
130303河北省 秦皇岛市 山海关区
130304河北省 秦皇岛市 北戴河区
130321河北省 秦皇岛市 青龙满族自治县
130322河北省 秦皇岛市 昌黎县
130323河北省 秦皇岛市 抚宁县
130324河北省 秦皇岛市 卢龙县
130400河北省 邯郸市
